product_id,id_web,price,total_sales,post_title,ca_par_bouteille
5959,15766,15.4,0,Domaine Labranche Laffont Madiran Vieilles Vignes 2015,0.0
5960,15892,12.7,0,Domaine Labranche Laffont Pacherenc du Vic-Bilh Sec 2017,0.0
5962,16326,30.0,0,Camin Larredya Jurançon Moelleux Au Capcéu 2018,0.0
5963,15574,13.5,0,Domaine de l'Ancienne Cure Bergerac Blanc Sec L'Abbaye 2016,0.0
5964,13662,16.3,3,Domaine de l'Ancienne Cure Pécharmant L'Abbaye 2015,48.9
5967,11669,56.3,0,Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012,0.0
5968,13215,71.5,0,Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013,0.0
5969,13211,69.0,0,Zind-Humbrecht Riesling Clos Windsbuhl 2014,0.0
6035,15342,17.9,1,Zind-Humbrecht Muscat Turckheim 2016,17.9
6038,15318,48.5,0,I Fabbri Chianti Classico Gran Selezione 2015,0.0
6041,13073,71.7,0,Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015,0.0
6042,16159,8.5,18,Domaine La Croix Belle Côtes de Thongue Rosé Les Grillons 2019,153.0
6047,16264,10.9,38,Château de La Liquière Faugères L'Ampoule 2019,414.2
6049,14899,21.8,3,Christophe Pichon Saint-Joseph Blanc 2017,65.4
6050,15134,38.5,0,Christophe Pichon Condrieu 2017,0.0
6070,16133,9.3,1,Borie La Vitarèle Pays d'Hérault Les Cigales 2019,9.3
6072,16028,13.6,9,Clos du Mont-Olivet Côtes-du-Rhône Blanc 2019,122.4
6073,15951,24.5,0,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,0.0
6093,15487,12.6,1,Château de Villeneuve Saumur-Champigny 2017,12.6
6094,15486,13.4,0,Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,0.0
6095,15489,29.8,0,Château de Villeneuve Saumur-Champigny Le Grand Clos 2017,0.0
6101,14089,36.9,0,Stéphane Tissot Arbois Blanc La Mailloche 2016,0.0
6103,14100,40.7,0,Stéphane Tissot Arbois Trousseau Amphore 2017,0.0
6104,14092,33.2,0,Stéphane Tissot Arbois Blanc Savagnin 2015,0.0
6105,14090,34.8,7,Stéphane Tissot Côtes du Jura Sursis 2017,243.6
6106,14106,74.8,0,Stéphane Tissot Château-Chalon 2011,0.0
6107,14101,62.4,0,Stéphane Tissot Arbois Vin Jaune En Spois 2011,0.0
6108,14797,46.0,0,Gilles Robin Cornas 2016,0.0
6109,15201,39.2,1,Gilles Robin Saint-Joseph Rouge André Péalat 2010,39.2
6126,14923,135.0,2,Champagne Gosset Célébris Vintage 2007,270.0
6127,14573,10.6,0,Moulin de Gassac IGP Pays d'Hérault Rouge Mazet du Levant 2017,0.0
6128,14569,10.6,3,Moulin de Gassac IGP Pays d'Hérault Blanc Faune 2017,31.8
6129,14570,5.2,0,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,0.0
